,tx,ty,tz,PL,angle
0,-0.002221,0.0006299999999999997,0.0,56,6
0,-1.300000000000018e-05,0.0014310000000000006,0.0,57,6
0,-0.0019179999999999996,0.0015799999999999998,0.0,58,6
0,-0.0008849999999999996,0.0034770000000000005,0.0,59,6
0,0.0006169999999999997,-0.001035,0.0,60,6
0,-0.0017620000000000001,0.0015670000000000003,0.0,61,6
0,-0.0014639999999999996,0.0016060000000000002,0.0,62,6
0,0.000991,-0.0010040000000000001,0.0,63,6
0,-0.0006399999999999999,-0.0005970000000000001,0.0,64,6
0,0.00031399999999999993,-0.0006960000000000002,0.0,65,6
0,0.00020800000000000007,0.0011669999999999996,0.0,66,6
0,-0.00019700000000000013,0.002141,0.0,67,6
0,0.001565,0.0014159999999999993,0.0,68,6
0,0.001163,0.001354,0.0,69,6
0,-0.0009060000000000003,0.0013049999999999993,0.0,70,6
0,0.000759,-0.0033370000000000023,-0.001519,1,7
0,-0.00023899999999999968,0.002513,0.0004779999999999997,2,7
0,0.001931,0.00019599999999999978,-0.0038619999999999987,3,7
0,0.0003529999999999998,0.0037229999999999997,-0.0007039999999999995,4,7
0,-0.0030369999999999998,-0.0003949999999999995,0.006076,5,7
0,-0.000854,-0.0030310000000000024,0.001707,6,7
0,0.0006350000000000001,-0.0005260000000000002,-0.0012670000000000003,7,7
0,3.999999999999826e-06,0.0021980000000000003,-1.0000000000000026e-05,8,7
